idade,renda_mensal,divida_existente,score_serasa,tempo_emprego_meses,num_emprestimos_ativos,genero,estado_civil,escolaridade,tipo_moradia,default
56,3295.23,21222.58,638,66,1,Feminino,Viúvo,Médio,Financiada,0
69,5950.73,17473.76,551,13,0,Feminino,Divorciado,Superior,Financiada,0
46,6264.91,19197.51,706,46,1,Masculino,Divorciado,Médio,Financiada,0
32,4051.64,23901.88,555,147,0,Feminino,Divorciado,Superior,Financiada,1
60,3456.46,13950.24,680,108,0,Masculino,Divorciado,Médio,Financiada,1
25,8219.04,7192.06,444,112,3,Feminino,Divorciado,Médio,Propria,0
38,5454.99,24107.91,890,179,4,Masculino,Casado,Fundamental,Financiada,1
56,6271.94,11291.55,640,67,0,Masculino,Solteiro,Pós-graduação,Propria,1
36,3355.85,10167.63,702,114,0,Feminino,Casado,Superior,Propria,0
40,2561.43,2426.62,587,25,4,Masculino,Solteiro,Superior,Alugada,0
28,3861.1,18998.98,513,46,1,Feminino,Viúvo,Fundamental,Financiada,1
28,4751.96,3649.83,831,206,0,Feminino,Viúvo,Médio,Financiada,0
41,2871.56,9748.19,875,72,3,Feminino,Divorciado,Pós-graduação,Propria,0
53,4980.31,19117.66,847,2,4,Feminino,Casado,Superior,Propria,0
57,1622.99,20053.45,510,129,4,Feminino,Divorciado,Fundamental,Alugada,1
41,2759.91,10438.07,470,230,0,Feminino,Casado,Pós-graduação,Alugada,0
20,6341.82,14060.93,837,168,1,Feminino,Viúvo,Pós-graduação,Propria,1
39,6207.58,8891.84,562,29,1,Masculino,Casado,Superior,Propria,1
19,4216.25,11161.22,689,164,2,Feminino,Divorciado,Superior,Propria,0
41,2964.47,16863.51,720,208,2,Feminino,Divorciado,Médio,Alugada,1
61,2945.19,11488.47,361,2,3,Masculino,Viúvo,Superior,Financiada,1
47,4253.46,13290.49,385,8,0,Masculino,Solteiro,Fundamental,Alugada,1
55,6289.04,4747.05,884,7,1,Masculino,Viúvo,Pós-graduação,Alugada,0
19,6856.49,22930.69,790,8,2,Masculino,Divorciado,Superior,Alugada,0
38,4006.94,18570.47,359,119,0,Masculino,Viúvo,Médio,Propria,1
50,2693.02,20550.34,776,144,0,Feminino,Solteiro,Fundamental,Alugada,0
29,5535.69,24032.98,619,151,1,Feminino,Divorciado,Superior,Financiada,1
39,3352.93,9223.51,351,199,0,Feminino,Solteiro,Fundamental,Alugada,1
61,3963.49,12491.24,376,141,4,Feminino,Casado,Pós-graduação,Financiada,1
42,7650.55,1736.16,418,181,2,Masculino,Casado,Médio,Financiada,0
66,6654.23,36982.96,481,79,3,Masculino,Viúvo,Superior,Propria,1
44,5315.95,13952.9,805,17,2,Feminino,Divorciado,Superior,Propria,0
59,2456.16,22271.1,452,215,0,Feminino,Casado,Superior,Propria,1
45,5422.79,6332.87,317,166,4,Feminino,Divorciado,Superior,Financiada,1
33,7125.31,21974.72,363,115,2,Feminino,Divorciado,Médio,Propria,1
32,4248.73,28003.14,796,174,1,Masculino,Divorciado,Superior,Financiada,1
64,7702.23,14578.03,378,26,4,Masculino,Solteiro,Médio,Propria,0
68,7585.49,7923.83,358,91,2,Feminino,Viúvo,Fundamental,Propria,1
61,8327.47,14028.43,710,70,0,Masculino,Solteiro,Médio,Financiada,0
69,5610.49,0.0,360,225,1,Feminino,Divorciado,Superior,Propria,0
20,6174.78,14734.79,766,218,0,Masculino,Casado,Médio,Alugada,0
54,7828.37,20746.77,378,33,0,Masculino,Casado,Médio,Alugada,1
68,5894.79,14749.7,787,102,1,Masculino,Casado,Fundamental,Alugada,0
24,3997.53,13011.02,543,146,4,Masculino,Viúvo,Fundamental,Alugada,1
38,4102.91,18692.98,507,133,2,Feminino,Solteiro,Pós-graduação,Financiada,1
26,5477.11,19228.17,386,157,4,Feminino,Solteiro,Pós-graduação,Propria,0
56,2418.88,3380.66,899,91,1,Feminino,Viúvo,Médio,Alugada,0
35,4713.48,15621.76,338,139,2,Feminino,Solteiro,Superior,Financiada,0
21,7193.09,32051.9,475,142,1,Masculino,Viúvo,Pós-graduação,Financiada,0
42,617.49,5654.89,777,108,3,Feminino,Viúvo,Médio,Propria,1
31,8068.96,14402.07,891,166,3,Feminino,Casado,Superior,Alugada,0
67,7244.75,28592.22,319,102,4,Feminino,Viúvo,Pós-graduação,Alugada,1
26,4080.47,22729.23,520,63,1,Feminino,Casado,Superior,Financiada,1
43,6086.78,11406.22,574,63,2,Masculino,Casado,Pós-graduação,Financiada,1
19,5006.3,16442.95,453,14,4,Feminino,Casado,Médio,Alugada,1
37,7459.98,14985.22,762,185,3,Masculino,Solteiro,Pós-graduação,Propria,0
45,6965.37,9763.5,708,99,3,Masculino,Viúvo,Pós-graduação,Financiada,0
64,2199.86,14480.24,550,66,3,Masculino,Divorciado,Pós-graduação,Financiada,0
24,6174.52,13040.24,511,0,4,Masculino,Casado,Fundamental,Propria,0
61,4588.74,15789.24,777,6,2,Masculino,Casado,Superior,Propria,0
25,5165.67,9761.32,718,136,3,Feminino,Solteiro,Superior,Financiada,0
64,3543.66,6063.67,471,0,4,Masculino,Solteiro,Superior,Financiada,0
52,8496.27,14711.03,806,4,4,Masculino,Casado,Fundamental,Alugada,0
31,7080.12,27005.83,502,46,0,Masculino,Divorciado,Médio,Financiada,0
34,3520.46,15575.42,791,99,0,Feminino,Solteiro,Médio,Financiada,1
53,2330.78,12678.84,594,9,2,Masculino,Solteiro,Superior,Financiada,1
67,4228.65,20278.6,756,1,3,Feminino,Viúvo,Superior,Alugada,1
57,5869.01,13891.76,445,22,0,Masculino,Solteiro,Fundamental,Propria,1
21,5480.41,28076.23,537,102,2,Feminino,Solteiro,Médio,Propria,1
19,7506.27,14972.61,723,220,0,Masculino,Viúvo,Pós-graduação,Propria,0
23,6579.84,19903.48,591,183,3,Feminino,Casado,Médio,Financiada,0
59,6939.14,9717.77,455,146,4,Feminino,Viúvo,Médio,Financiada,1
21,5653.71,18521.62,649,165,3,Feminino,Viúvo,Médio,Propria,1
46,2221.4,16925.65,741,46,0,Feminino,Casado,Médio,Alugada,1
35,4608.6,14604.46,542,83,3,Masculino,Casado,Médio,Financiada,0
43,7120.18,11487.7,506,203,4,Feminino,Viúvo,Médio,Alugada,0
61,4896.95,10533.79,727,202,1,Feminino,Divorciado,Superior,Alugada,0
51,6006.18,16976.47,557,226,4,Masculino,Solteiro,Superior,Financiada,1
27,4362.5,19402.57,884,179,0,Masculino,Solteiro,Superior,Propria,0
53,2940.38,14109.86,334,48,4,Feminino,Solteiro,Médio,Alugada,1
31,4753.31,17010.88,428,198,2,Masculino,Casado,Superior,Propria,1
48,5618.09,14734.6,729,150,3,Feminino,Solteiro,Médio,Financiada,0
65,3688.62,15689.68,618,49,1,Feminino,Casado,Pós-graduação,Alugada,0
32,4528.58,13596.89,394,16,1,Feminino,Casado,Médio,Financiada,0
25,3121.07,15125.81,519,47,3,Masculino,Divorciado,Pós-graduação,Financiada,0
31,7238.49,33886.28,600,120,3,Masculino,Solteiro,Superior,Alugada,1
40,4411.09,17181.44,484,1,2,Feminino,Casado,Superior,Alugada,1
57,7905.51,19517.08,336,196,4,Feminino,Solteiro,Superior,Propria,0
38,8057.5,18066.17,699,189,1,Feminino,Casado,Médio,Alugada,0
33,4837.91,13160.28,441,84,0,Masculino,Viúvo,Superior,Financiada,1
62,2983.1,24057.92,433,12,3,Masculino,Casado,Pós-graduação,Propria,1
35,828.2,12961.85,744,60,3,Masculino,Casado,Superior,Financiada,1
64,2055.93,22385.38,587,10,1,Masculino,Casado,Pós-graduação,Propria,1
41,2252.33,12660.55,557,215,3,Feminino,Viúvo,Médio,Financiada,0
43,7756.94,8280.19,338,96,1,Feminino,Divorciado,Superior,Propria,1
42,5231.65,17557.77,604,26,0,Feminino,Solteiro,Superior,Alugada,1
62,5779.21,7267.32,582,34,0,Feminino,Viúvo,Médio,Financiada,0
58,559.16,18749.48,825,17,1,Masculino,Solteiro,Médio,Financiada,0
46,2604.07,6640.89,706,212,3,Feminino,Viúvo,Pós-graduação,Propria,0
32,6774.16,12766.94,658,67,2,Masculino,Casado,Superior,Alugada,1
62,5573.55,4977.89,677,188,2,Masculino,Viúvo,Superior,Alugada,0
18,4705.59,34769.17,768,40,4,Masculino,Solteiro,Superior,Propria,1
42,6129.68,3422.28,580,95,2,Feminino,Solteiro,Superior,Alugada,1
24,8271.6,15068.7,864,170,3,Feminino,Solteiro,Fundamental,Alugada,0
26,4557.92,23003.13,310,176,2,Feminino,Divorciado,Superior,Propria,1
41,5138.74,22254.7,485,138,4,Feminino,Viúvo,Médio,Financiada,1
18,5385.19,20959.39,848,66,0,Feminino,Casado,Superior,Propria,0
61,9784.22,12779.4,308,178,1,Masculino,Viúvo,Pós-graduação,Propria,1
25,801.29,24457.62,327,51,2,Feminino,Divorciado,Pós-graduação,Propria,1
41,6366.45,21393.74,763,118,1,Feminino,Solteiro,Superior,Alugada,0
28,4770.4,16486.1,810,84,1,Feminino,Solteiro,Médio,Financiada,1
68,6133.54,16684.07,801,170,0,Feminino,Divorciado,Médio,Alugada,0
34,3685.25,12872.54,881,185,4,Masculino,Viúvo,Médio,Alugada,0
25,4902.07,8632.44,517,205,3,Masculino,Casado,Superior,Alugada,1
52,6422.82,23660.06,728,69,3,Masculino,Solteiro,Pós-graduação,Financiada,1
52,11225.82,24185.46,302,156,3,Feminino,Divorciado,Pós-graduação,Propria,1
50,6616.07,8811.24,486,158,4,Masculino,Divorciado,Superior,Propria,0
22,3303.87,13923.5,342,238,4,Feminino,Casado,Pós-graduação,Financiada,1
59,4152.48,13996.04,710,27,4,Masculino,Divorciado,Pós-graduação,Propria,1
56,4093.17,14771.41,489,106,2,Feminino,Divorciado,Médio,Financiada,1
58,1408.71,15450.06,341,177,1,Feminino,Divorciado,Superior,Alugada,1
45,4339.82,21628.03,396,35,4,Masculino,Solteiro,Médio,Propria,1
24,6465.66,9769.48,816,91,4,Masculino,Solteiro,Fundamental,Financiada,0
26,2451.54,9075.57,435,146,2,Masculino,Viúvo,Superior,Financiada,1
25,7096.97,23656.34,809,194,1,Feminino,Casado,Superior,Financiada,0
29,5975.55,11761.49,818,11,3,Feminino,Divorciado,Superior,Financiada,0
51,3531.53,6158.75,336,227,0,Feminino,Divorciado,Pós-graduação,Propria,1
50,4716.94,11604.09,878,215,4,Feminino,Solteiro,Superior,Alugada,0
65,8196.64,12689.63,816,75,4,Feminino,Solteiro,Médio,Propria,0
40,6467.1,25884.74,357,23,0,Masculino,Solteiro,Médio,Propria,1
41,5017.57,21473.78,454,64,4,Feminino,Casado,Médio,Financiada,1
54,4524.63,23032.64,412,91,4,Feminino,Solteiro,Superior,Alugada,1
52,5153.22,20739.82,759,79,4,Masculino,Divorciado,Pós-graduação,Financiada,0
61,3976.47,21623.71,741,148,0,Masculino,Divorciado,Médio,Propria,0
57,790.5,10183.43,527,221,2,Feminino,Divorciado,Superior,Alugada,1
39,9084.36,13609.78,878,97,2,Feminino,Viúvo,Superior,Propria,0
44,5310.65,8070.59,421,25,0,Feminino,Casado,Médio,Alugada,1
